id,log_date,timestamp,location,dominan,aqi,pm25,pm10,co,no2,so2,o3
221,2025-04-22 18:07:46.099062+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
222,2025-04-22 18:08:46.777979+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
223,2025-04-22 18:09:47.43391+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
224,2025-04-22 18:10:48.139071+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
225,2025-04-22 18:11:48.831635+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
226,2025-04-22 18:12:49.50056+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
227,2025-04-22 18:13:50.160247+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
228,2025-04-22 18:14:50.861757+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
229,2025-04-22 18:15:51.563362+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
230,2025-04-22 18:16:52.266128+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
231,2025-04-22 18:17:53.322278+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
232,2025-04-22 18:18:54.026285+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
233,2025-04-22 18:19:55.042384+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
234,2025-04-22 18:20:55.709135+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
235,2025-04-22 18:21:56.419775+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
236,2025-04-22 18:22:57.093255+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
237,2025-04-22 18:23:57.775583+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
238,2025-04-22 18:24:58.454305+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
239,2025-04-22 18:25:59.150595+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
240,2025-04-22 18:26:59.863129+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
241,2025-04-22 18:28:00.542392+07,2025-04-22 18:00:00+07,surabaya,pm25,113,113,48,,49,44,81
